| Raza                           | Altura (cm) | Peso (kg) | Inteligencia (%) | Coste total (€) | Vida promedio (años) | Nº Enfermedades graves | Coste anual promedio (€) | Hogar                 | Trucos | Actividad física del dueño | Distrito                |
| Border Collie | 51.3        | 17.4      | 100               | 16184            | 12.52                 | 2                       | 1293                     | Finca               | Sí     | Nada                        | Ciudad Lineal          |
| Border Collie | 50.8        | 17.9      | 99                | 16159            | 12.56                 | 3                       | 1297                     | Jardín Amplio       | No     | Muy frecuente                | Retiro                |
| Border Collie | 51.9        | 16.5      | 100               | 16214            | 12.49                 | 2                       | 1287                     | Apartamento pequeño | Sí     | Frecuente                    | Centro                |
| Border Collie | 51.7        | 17.6      | 99                | 16199            | 12.51                 | 3                       | 1290                     | Jardín Amplio       | No     | Poco frecuente               | Salamanca             |
| Husky Siberiano | 55          | 22        | 45                | 16470            | 12.58                 | 0                       | 1309                     | Jardín Amplio       | No     | Frecuente                    | Chamartín              |
| Husky Siberiano | 54.5        | 22.5      | 44                | 16481            | 12.57                 | 1                       | 1305                     | Apartamento mediano | Sí     | Poco frecuente               | Puente de Vallecas     |
| Husky Siberiano | 55.2        | 21.8      | 46                | 16461            | 12.60                 | 0                       | 1310                     | Jardín Amplio       | No     | Nada                        | Moratalaz             |
| Husky Siberiano | 55.4        | 22.2      | 45                | 16476            | 12.59                 | 1                       | 1308                     | Apartamento pequeño | Sí     | Muy frecuente                | Latina                |
| Husky Siberiano | 55.1        | 21.7      | 46                | 16456            | 12.61                 | 0                       | 1311                     | Jardín Amplio       | No     | Frecuente                    | Usera                 |
| Husky Siberiano | 55.6        | 22.8      | 44                | 16491            | 12.56                 | 1                       | 1304                     | Apartamento mediano | Sí     | Poco frecuente               | Villa de Vallecas     |
| Husky Siberiano | 55.3        | 22.4      | 45                | 16468            | 12.58                 | 0                       | 1309                     | Finca               | No     | Nada                        | Ciudad Lineal          |
| Husky Siberiano | 54.8        | 22.9      | 44                | 16443            | 12.62                 | 1                       | 1313                     | Jardín Amplio       | Sí     | Muy frecuente                | Retiro                |
| Husky Siberiano | 55.9        | 21.5      | 47                | 16498            | 12.55                 | 0                       | 1303                     | Apartamento pequeño | No     | Frecuente                    | Centro                |
| Husky Siberiano | 55.7        | 22.6      | 44                | 16483            | 12.57                 | 1                       | 1306                     | Jardín Amplio       | Sí     | Poco frecuente               | Salamanca             |
| Dachshund | 24          | 11        | 37                | 15006            | 12.63                 | 2                       | 1188                     | Jardín Amplio       | Sí     | Nada                        | Chamartín              |
| Dachshund | 23.5        | 11.5      | 36                | 15017            | 12.62                 | 3                       | 1184                     | Apartamento mediano | No     | Frecuente                    | Puente de Vallecas     |
| Dachshund | 24.2        | 10.8      | 38                | 14997            | 12.65                 | 2                       | 1189                     | Jardín Amplio       | Sí     | Poco frecuente               | Moratalaz             |
| Dachshund | 24.4        | 11.2      | 37                | 15012            | 12.64                 | 3                       | 1187                     | Apartamento pequeño | No     | Muy frecuente                | Latina                |
| Dachshund | 24.1        | 10.7      | 38                | 14992            | 12.66                 | 2                       | 1190                     | Jardín Amplio       | Sí     | Nada                        | Usera                 |
| Dachshund | 24.6        | 11.8      | 36                | 15027            | 12.61                 | 3                       | 1183                     | Apartamento mediano | No     | Poco frecuente               | Villa de Vallecas     |
| Dachshund | 24.3        | 11.4      | 37                | 15004            | 12.63                 | 2                       | 1188                     | Finca               | Sí     | Nada                        | Ciudad Lineal          |
| Dachshund | 23.8        | 11.9      | 36                | 14979            | 12.67                 | 3                       | 1192                     | Jardín Amplio       | No     | Muy frecuente                | Retiro                |
| Dachshund | 24.9        | 10.5      | 39                | 15034            | 12.60                 | 2                       | 1182                     | Apartamento pequeño | Sí     | Frecuente                    | Centro                |
| Dachshund | 24.7        | 11.6      | 36                | 15019            | 12.62                 | 3                       | 1185                     | Jardín Amplio       | No     | Poco frecuente               | Salamanca             |
| Schnauzer Miniatura | 33          | 7         | 87                | 14489            | 11.81                 | 2                       | 1226                     | Apartamento mediano | Sí     | Muy frecuente                | Chamartín              |
| Schnauzer Miniatura | 32.5        | 7.5       | 88                | 14500            | 11.80                 | 3                       | 1222                     | Jardín Amplio       | No     | Poco frecuente               | Puente de Vallecas     |
| Schnauzer Miniatura | 33.2        | 6.8       | 86                | 14480            | 11.83                 | 2                       | 1227                     | Apartamento pequeño | Sí     | Nada                        | Moratalaz             |
| Schnauzer Miniatura | 33.4        | 7.2       | 87                | 14495            | 11.82                 | 3                       | 1225                     | Jardín Amplio       | No     | Frecuente                    | Latina                |
| Schnauzer Miniatura | 33.1        | 6.7       | 88                | 14470            | 11.84                 | 2                       | 1228                     | Apartamento mediano | Sí     | Poco frecuente               | Usera                 |
| Schnauzer Miniatura | 33.6        | 7.8       | 86                | 14505            | 11.79                 | 3                       | 1221                     | Jardín Amplio       | No     | Nada                        | Villa de Vallecas     |
| Schnauzer Miniatura | 33.3        | 7.4       | 87                | 14482            | 11.81                 | 2                       | 1226                     | Finca               | Sí     | Muy frecuente                | Ciudad Lineal          |
| Schnauzer Miniatura | 32.8        | 7.9       | 86                | 14457            | 11.85                 | 3                       | 1230                     | Apartamento pequeño | No     | Frecuente                    | Retiro                |
| Schnauzer Miniatura | 33.9        | 6.5       | 88                | 14512            | 11.78                 | 2                       | 1220                     | Jardín Amplio       | Sí     | Poco frecuente               | Centro                |
| Schnauzer Miniatura | 33.7        | 7.6       | 86                | 14497            | 11.80                 | 3                       | 1223                     | Apartamento mediano | No     | Nada                        | Salamanca             |
